number,symbol,name,market,size
0,TXG,10x Genomics. Inc.,NASDAQ,5010000000
1,YI,111. Inc.,NASDAQ,372360000
2,PIH,1347 Property Insurance Holdings. Inc.,NASDAQ,28260000
3,PIHPP,1347 Property Insurance Holdings. Inc.,NASDAQ,17790000
4,TURN,180 Degree Capital Corp.,NASDAQ,65980000
5,FLWS,1-800 FLOWERS.COM. Inc.,NASDAQ,879790000
6,BCOW,1895 Bancorp of Wisconsin. Inc.,NASDAQ,48040000
7,FCCY,1st Constitution Bancorp (NJ),NASDAQ,165900000
8,SRCE,1st Source Corporation,NASDAQ,1300000000
9,VNET,21Vianet Group. Inc.,NASDAQ,910380000
10,TWOU,2U. Inc.,NASDAQ,1160000000
11,QFIN,360 Finance. Inc.,NASDAQ,1290000000
12,JOBS,51job. Inc.,NASDAQ,5140000000
13,JFK,8i Enterprises Acquisition Corp,NASDAQ,74050000
14,JFKKU,8i Enterprises Acquisition Corp,NASDAQ,53100000
15,JFKKW,8i Enterprises Acquisition Corp,NASDAQ,1840000
16,EGHT,8x8 Inc,NASDAQ,1960000000
17,JFU,9F Inc.,NASDAQ,2400000000
18,AAON,AAON. Inc.,NASDAQ,2490000000
19,ABEO,Abeona Therapeutics Inc.,NASDAQ,123290000
20,ABIL,Ability Inc.,NASDAQ,3890000
21,ABMD,ABIOMED. Inc.,NASDAQ,8270000000
22,AXAS,Abraxas Petroleum Corporation,NASDAQ,55660000
23,ACIU,AC Immune SA,NASDAQ,374970000
24,ACIA,Acacia Communications. Inc.,NASDAQ,2670000000
25,ACTG,Acacia Research Corporation,NASDAQ,126840000
26,ACHC,Acadia Healthcare Company. Inc.,NASDAQ,2710000000
27,ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,6010000000
28,ACAM,Acamar Partners Acquisition Corp.,NASDAQ,375470000
29,ACST,Acasti Pharma. Inc.,NASDAQ,161870000
30,AXDX,Accelerate Diagnostics. Inc.,NASDAQ,950630000
31,XLRN,Acceleron Pharma Inc.,NASDAQ,2230000000
32,ARAY,Accuray Incorporated,NASDAQ,246810000
33,ACRX,AcelRx Pharmaceuticals. Inc.,NASDAQ,175550000
34,ACER,Acer Therapeutics Inc.,NASDAQ,34120000
35,ACHV,Achieve Life Sciences. Inc. ,NASDAQ,11740000
36,ACHN,Achillion Pharmaceuticals. Inc.,NASDAQ,872950000
37,ACIW,ACI Worldwide. Inc.,NASDAQ,3630000000
38,ACRS,Aclaris Therapeutics. Inc.,NASDAQ,73640000
39,ACMR,ACM Research. Inc.,NASDAQ,243830000
40,ACNB,ACNB Corporation,NASDAQ,243560000
41,ACOR,Acorda Therapeutics. Inc.,NASDAQ,94770000
42,ACTT,Act II Global Acquisition Corp.,NASDAQ,370880000
43,ACTTW,Act II Global Acquisition Corp.,NASDAQ,20880000
44,ATVI,Activision Blizzard. Inc,NASDAQ,42390000000
45,ADMS,Adamas Pharmaceuticals. Inc.,NASDAQ,109140000
46,ADMP,Adamis Pharmaceuticals Corporation,NASDAQ,45460000
47,ADAP,Adaptimmune Therapeutics plc,NASDAQ,93180000
48,ADPT,Adaptive Biotechnologies Corporation,NASDAQ,3180000000
49,ADUS,Addus HomeCare Corporation,NASDAQ,1100000000
50,AEY,ADDvantage Technologies Group. Inc.,NASDAQ,21450000
51,IOTS,Adesto Technologies Corporation,NASDAQ,260710000
52,ADIL,Adial Pharmaceuticals. Inc,NASDAQ,15670000
53,ADMA,ADMA Biologics Inc,NASDAQ,282950000
54,ADBE,Adobe Inc.,NASDAQ,1.31E+11
55,ADTN,ADTRAN. Inc.,NASDAQ,448130000
56,ADRO,Aduro Biotech. Inc.,NASDAQ,76650000
57,ADES,Advanced Emissions Solutions. Inc.,NASDAQ,259160000
58,AEIS,Advanced Energy Industries. Inc.,NASDAQ,2290000000
59,AMD,Advanced Micro Devices. Inc.,NASDAQ,36020000000
60,ADXS,Advaxis. Inc.,NASDAQ,7470000
61,ADVM,Adverum Biotechnologies. Inc.,NASDAQ,483440000
62,DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,NASDAQ,2150000
63,DWSH,AdvisorShares Dorsey Wright Short ETF,NASDAQ,29690000
64,ACT,AdvisorShares Vice ETF,NASDAQ,11910000
65,AEGN,Aegion Corp,NASDAQ,668550000
66,AGLE,Aeglea BioTherapeutics. Inc.,NASDAQ,215200000
67,AEHR,Aehr Test Systems,NASDAQ,40900000
68,AMTX,Aemetis. Inc,NASDAQ,20270000
69,AERI,Aerie Pharmaceuticals. Inc.,NASDAQ,979420000
70,AVAV,AeroVironment. Inc.,NASDAQ,1360000000
71,ARPO,Aerpio Pharmaceuticals. Inc.,NASDAQ,21510000
72,AEZS,AEterna Zentaris Inc.,NASDAQ,20880000
73,AEMD,Aethlon Medical. Inc.,NASDAQ,89540000
74,GNMX,Aevi Genomic Medicine. Inc.,NASDAQ,8710000
75,AFMD,Affimed N.V.,NASDAQ,176710000
76,AFYA,Afya Limited,NASDAQ,2260000000
77,AGBA,AGBA Acquisition Limited,NASDAQ,59150000
78,AGBAU,AGBA Acquisition Limited,NASDAQ,61180000
79,AGEN,Agenus Inc.,NASDAQ,330920000
80,AGRX,Agile Therapeutics. Inc.,NASDAQ,65830000
81,AGYS,Agilysys. Inc.,NASDAQ,606090000
82,AGIO,Agios Pharmaceuticals. Inc.,NASDAQ,1930000000
83,AGMH,AGM Group Holdings Inc.,NASDAQ,446780000
84,AGNC,AGNC Investment Corp.,NASDAQ,9060000000
85,AGNCB,AGNC Investment Corp.,NASDAQ,8900000000
86,AGNCN,AGNC Investment Corp.,NASDAQ,335530
87,AGNCO,AGNC Investment Corp.,NASDAQ,238760000
88,AGFS,AgroFresh Solutions. Inc.,NASDAQ,119860000
89,ALRN,Aileron Therapeutics. Inc.,NASDAQ,12630000
90,AIMT,Aimmune Therapeutics. Inc.,NASDAQ,1760000000
91,AIRT,Air T. Inc.,NASDAQ,59640000
92,ATSG,Air Transport Services Group. Inc,NASDAQ,1280000000
93,AIRG,Airgain. Inc.,NASDAQ,102980000
94,ANTE,AirNet Technology Inc.,NASDAQ,13700000
95,AKAM,Akamai Technologies. Inc.,NASDAQ,14610000000
96,AKTX,Akari Therapeutics Plc,NASDAQ,36120000
97,SONG,Akazoo S.A.,NASDAQ,246690000
98,SONGW,Akazoo S.A.,NASDAQ,3830000
99,AKCA,Akcea Therapeutics. Inc.,NASDAQ,1730000000
100,AKBA,Akebia Therapeutics. Inc.,NASDAQ,477830000
101,KERN,Akerna Corp.,NASDAQ,57090000
102,AKRO,Akero Therapeutics. Inc.,NASDAQ,599380000
103,AKER,Akers Biosciences Inc.,NASDAQ,5040000
104,AKRX,Akorn. Inc.,NASDAQ,590350000
105,AKTS,Akoustis Technologies. Inc.,NASDAQ,255170000
106,ALRM,Alarm.com Holdings. Inc.,NASDAQ,2370000000
107,ALSK,Alaska Communications Systems Group. Inc.,NASDAQ,87790000
108,ALAC,Alberton Acquisition Corporation,NASDAQ,150720000
109,ALBO,Albireo Pharma. Inc.,NASDAQ,221230000
110,ABDC,Alcentra Capital Corp.,NASDAQ,115110000
111,ALDX,Aldeyra Therapeutics. Inc.,NASDAQ,161060000
112,ALEC,Alector. Inc.,NASDAQ,1100000000
113,ALRS,Alerus Financial Corporation,NASDAQ,374120000
114,ALXN,Alexion Pharmaceuticals. Inc.,NASDAQ,23580000000
115,ALCO,Alico. Inc.,NASDAQ,237010000
116,ALGN,Align Technology. Inc.,NASDAQ,19440000000
117,ALIM,Alimera Sciences. Inc.,NASDAQ,26050000
118,ALYA,Alithya Group inc.,NASDAQ,133700000
119,ALJJ,ALJ Regional Holdings. Inc.,NASDAQ,50310000
120,ALKS,Alkermes plc,NASDAQ,3070000000
121,ALLK,Allakos Inc.,NASDAQ,3400000000
122,ABTX,Allegiance Bancshares. Inc.,NASDAQ,718750000
123,ALGT,Allegiant Travel Company,NASDAQ,2710000000
124,ALGR,Allegro Merger Corp.,NASDAQ,194030000
125,ALNA,Allena Pharmaceuticals. Inc.,NASDAQ,132820000
126,ARLP,Alliance Resource Partners. L.P.,NASDAQ,1750000000
127,LNT,Alliant Energy Corporation,NASDAQ,12630000000
128,AESE,Allied Esports Entertainment. Inc.,NASDAQ,109210000
129,AHPI,Allied Healthcare Products. Inc.,NASDAQ,5040000
130,AMOT,Allied Motion Technologies. Inc.,NASDAQ,357110000
131,ALLO,Allogene Therapeutics. Inc.,NASDAQ,3550000000
132,ALLT,Allot Ltd.,NASDAQ,254200000
133,MDRX,Allscripts Healthcare Solutions. Inc.,NASDAQ,1830000000
134,ALNY,Alnylam Pharmaceuticals. Inc.,NASDAQ,9930000000
135,AOSL,Alpha and Omega Semiconductor Limited,NASDAQ,313990000
136,GOOG,Alphabet Inc.,NASDAQ,8.77E+11
137,GOOGL,Alphabet Inc.,NASDAQ,8.77E+11
138,SMCP,AlphaMark Actively Managed Small Cap ETF,NASDAQ,21410000
139,ATEC,Alphatec Holdings. Inc.,NASDAQ,345200000
140,ALPN,Alpine Immune Sciences. Inc.,NASDAQ,52420000
141,ALTR,Altair Engineering Inc.,NASDAQ,2560000000
142,ATHE,Alterity Therapeutics Limited,NASDAQ,16780000
143,ALT,Altimmune. Inc.,NASDAQ,30370000
144,ASPS,Altisource Portfolio Solutions S.A.,NASDAQ,302170000
145,AIMC,Altra Industrial Motion Corp.,NASDAQ,1920000000
146,ALTM,Altus Midstream Company,NASDAQ,792830000
147,AMAG,AMAG Pharmaceuticals. Inc.,NASDAQ,415730000
148,AMAL,Amalgamated Bank,NASDAQ,551110000
149,AMRN,Amarin Corporation plc,NASDAQ,5910000000
150,AMRK,A-Mark Precious Metals. Inc.,NASDAQ,77350000
151,AMZN,Amazon.com. Inc.,NASDAQ,8.71E+11
152,AMBC,Ambac Financial Group. Inc.,NASDAQ,901000000
153,AMBA,Ambarella. Inc.,NASDAQ,1750000000
154,AMCX,AMC Networks Inc.,NASDAQ,2600000000
155,AMCI,AMCI Acquisition Corp.,NASDAQ,276480000
156,DOX,Amdocs Limited,NASDAQ,8850000000
157,AMED,Amedisys Inc,NASDAQ,4300000000
158,AMTB,Amerant Bancorp Inc.,NASDAQ,822620000
159,AMTBB,Amerant Bancorp Inc.,NASDAQ,597310000
160,UHAL,Amerco,NASDAQ,8070000000
161,AMRH,Ameri Holdings. Inc.,NASDAQ,8610000
162,ATAX,America First Multifamily Investors. L.P.,NASDAQ,468300000
163,AMOV,America Movil. S.A.B. de C.V.,NASDAQ,53100000000
164,AAL,American Airlines Group. Inc.,NASDAQ,13740000000
165,AFIN,American Finance Trust. Inc.,NASDAQ,1530000000
166,AFINP,American Finance Trust. Inc.,NASDAQ,30520000
167,AMNB,American National Bankshares. Inc.,NASDAQ,404050000
168,ANAT,American National Insurance Company,NASDAQ,3120000000
169,AOBC,American Outdoor Brands Corporation,NASDAQ,393620000
170,APEI,American Public Education. Inc.,NASDAQ,357060000
171,AREC,American Resources Corporation,NASDAQ,19360000
172,AMRB,American River Bankshares,NASDAQ,87130000
173,AMSWA,American Software. Inc.,NASDAQ,491200000
174,AMSC,American Superconductor Corporation,NASDAQ,200570000
175,AMWD,American Woodmark Corporation,NASDAQ,1700000000
